bias,closestFood,closestFoodNow,closestGhost,closestGhostNow,closestScaredGhost,closestScaredGhostNow,eatenByGhost,eatsCapsule,eatsFood,foodCount,foodWithinFiveSpaces,foodWithinNineSpaces,foodWithinThreeSpaces,furthestFood,numberAvailableActions,ratioCapsuleDistance,ratioFoodDistance,ratioGhostDistance,ratioScaredGhostDistance,label
1.0,0.47222222222222227,1.0,1.0,1.0,0.02054794520547945,0.02511415525114155,0.0,0.0,0.4174102076904409,0.7628865979381443,0.6538461538461539,0.6271186440677966,0.7142857142857143,0.68,1.0,0.46666666666666673,0.6521739130434783,0.5,0.23076923076923075,0
1.0,0.47222222222222227,1.0,1.0,1.0,0.02511415525114155,0.02511415525114155,0.0,0.0,0.3510989244919446,0.7628865979381443,0.7692307692307693,0.6949152542372882,0.6428571428571429,0.64,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,1.0,1.0,0.0228310502283105,0.0273972602739726,0.0,0.0,0.6721663365497108,0.7422680412371134,0.7692307692307693,0.7966101694915254,0.42857142857142855,0.56,0.8,0.32941176470588235,0.18840579710144925,0.5,0.23809523809523805,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.0273972602739726,0.0273972602739726,0.0,0.0,0.3737913668125367,0.7525773195876289,0.7307692307692307,0.6779661016949152,0.5714285714285714,0.64,0.6,0.4705882352941177,1.0,0.5,0.3333333333333333,0
1.0,0.47222222222222227,1.0,1.0,1.0,0.0273972602739726,0.0273972602739726,0.0,0.0,0.3830593727519572,0.7525773195876289,0.7692307692307693,0.7288135593220338,0.5714285714285714,0.6,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.29629629629629634,1.0,1.0,1.0,0.02054794520547945,0.02511415525114155,0.0,0.0,0.3019660920012696,0.7422680412371134,0.8076923076923077,0.864406779661017,0.35714285714285715,0.52,0.8,0.325,1.0,0.5,0.23076923076923075,0
1.0,1.0,0.625,1.0,1.0,0.02054794520547945,0.02511415525114155,0.0,0.0,0.757026128322012,0.7319587628865979,0.7692307692307693,0.8983050847457628,0.42857142857142855,0.6,0.8,0.325,0.18840579710144925,0.5,0.23076923076923075,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.02968036529680365,0.02511415525114155,0.0,0.0,0.22015105976831092,0.7422680412371134,0.7307692307692307,0.711864406779661,0.5,0.6,0.6,0.47500000000000003,1.0,0.5,0.43589743589743585,0
1.0,0.47222222222222227,1.0,1.0,1.0,0.02511415525114155,0.02511415525114155,0.0,0.0,0.24579816668077775,0.7422680412371134,0.7692307692307693,0.7966101694915254,0.42857142857142855,0.56,0.8,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.29629629629629634,1.0,1.0,1.0,0.0182648401826484,0.0228310502283105,0.0,0.0,0.2298153096128047,0.7319587628865979,0.8461538461538461,0.9152542372881356,0.35714285714285715,0.56,0.8,0.32000000000000006,1.0,0.5,0.22222222222222224,0
1.0,1.0,0.625,1.0,1.0,0.0182648401826484,0.0228310502283105,0.0,0.0,0.553933168028468,0.7216494845360825,0.7692307692307693,0.9491525423728814,0.5714285714285714,0.64,0.6,0.32000000000000006,0.18840579710144925,0.5,0.22222222222222224,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.0273972602739726,0.0228310502283105,0.0,0.0,0.3007781519567209,0.7319587628865979,0.7307692307692307,0.7796610169491526,0.35714285714285715,0.56,0.8,0.48,1.0,0.5,0.4444444444444445,0
1.0,0.47222222222222227,1.0,1.0,1.0,0.0228310502283105,0.0228310502283105,0.0,0.0,0.2958811617370135,0.7319587628865979,0.7692307692307693,0.8983050847457628,0.42857142857142855,0.6,0.8,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,1.0,1.0,0.01598173515981735,0.02054794520547945,0.0,0.0,0.5140988362274236,0.711340206185567,0.8076923076923077,0.9322033898305084,0.6428571428571429,0.68,0.6,0.31428571428571433,0.18840579710144925,0.5,0.21212121212121215,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.02511415525114155,0.02054794520547945,0.0,0.0,0.15102909998607097,0.7216494845360825,0.7307692307692307,0.8813559322033898,0.35714285714285715,0.6,0.8,0.4857142857142857,1.0,0.5,0.4545454545454546,0
